Name,Global,Local
C30,814.9926200051701,814.9926200051701
cis-But-2-ene,124.56406799304199,124.56406799304199
Phenolic acid,165.57578429022288,165.58048248969993
Styrene,162.02495497638964,162.02495497638964
Glycerol,140.6087049106891,143.56215520904544
Pentan-2-ol,174.29211211340692,174.2921199605246
Heptan-4-ol,222.54542406886193,222.54539564853133
But-2-en-1one,119.32081691264514,119.32081691264514
Ethylene glycol,109.2274073359167,109.227437051739
Propanoic acid,120.7377486980926,120.73779019260355
Urea,89.24629534613534,89.24629041999692
Pent-3-one,165.61905680979524,165.6189965984595
"3,4-dihydroxyacetophenone",186.12262154677006,187.40614315123779
prop-1-yne 3-one,93.31754881096501,93.31755918832951
Tetrahydrofuran-3-ol,141.55062655170772,141.55198498311265
Malic acid,159.00920412617066,156.651702261126
Maleic acid,137.1079890304522,137.10799092496123
Citric acid,216.63975532860053,217.38231191860353
