Name,Global,Local
C30,814.9926200051701,814.9926200051701
cis-But-2-ene,124.56406799304199,124.56406799304199
Phenolic acid,165.57646296361526,165.57802206231588
Styrene,162.02495497638964,162.02495497638964
Glycerol,140.6091701874188,140.6088736472032
Pentan-2-ol,175.50844331468525,175.50886141308678
Heptan-4-ol,225.29536895563047,226.41524143392104
But-2-en-1one,119.32174924411947,119.32175409617479
Ethylene glycol,109.22744313186945,109.22742662411135
Propanoic acid,120.73778440187544,120.7378460639147
Urea,89.24630146613347,89.2462840335698
Pent-3-one,166.0262470946235,166.02664897854044
"3,4-dihydroxyacetophenone",186.12263084747548,186.046267277982
prop-1-yne 3-one,93.31756071534237,93.31758572432938
Tetrahydrofuran-3-ol,140.10936844550577,140.11022887634704
Malic acid,159.00932663590604,159.0093331490719
Maleic acid,137.10799155074102,137.10799217803728
Citric acid,216.64012488521303,216.64023189482612
