Name,Global,Local
C30,814.9926200051701,814.9926200051701
cis-But-2-ene,124.56406799304199,124.56406799304199
Phenolic acid,165.57678341947167,165.57802206231588
Styrene,162.02495497638964,162.02495497638964
Glycerol,143.56199423913063,143.56215520904544
Pentan-2-ol,174.29214984602888,175.50886141308678
Heptan-4-ol,225.29516430854622,226.41524143392104
But-2-en-1one,119.32174078675418,119.32081691264514
Ethylene glycol,109.2274313328605,109.227437051739
Propanoic acid,120.73775983424218,120.73779019260355
Urea,89.24631276429399,89.24629041999692
Pent-3-one,166.02589164819614,166.02664897854044
"3,4-dihydroxyacetophenone",187.40600677325898,186.1226289686594
prop-1-yne 3-one,93.31757284555765,93.31758572432938
Tetrahydrofuran-3-ol,140.8860546253177,141.55198498311265
Malic acid,159.00921769400986,159.0094015384368
Maleic acid,137.1079842190782,137.10799092496123
Citric acid,217.70369935352235,220.1799501675508
