,HBC_HBC,HBC_R
C30,1.0,1.0
cis-But-2-ene,1.0,1.0
Phenolic acid,10.0,2.3101297000831598
Styrene,1.0,1.0
Glycerol,21.544346900318846,1.1497569953977358
Pentan-2-ol,20.09233002565047,20.09233002565047
Heptan-4-ol,351.1191734215131,351.1191734215131
But-2-en-1one,284.8035868435802,284.8035868435802
Ethylene glycol,1.4174741629268053,1.0
Propanoic acid,1.0,1.0
Urea,2.3101297000831598,2.3101297000831598
Pent-3-one,35.11191734215131,35.11191734215131
"3,4-dihydroxyacetophenone",86.97490026177834,3.0538555088334154
prop-1-yne 3-one,1.1497569953977358,1.1497569953977358
Tetrahydrofuran-3-ol,305.3855508833416,174.7528400007685
Malic acid,464.1588833612782,432.8761281083057
Maleic acid,46.4158883361278,3.511191734215131
Citric acid,11.497569953977356,1.0722672220103233
Global,141.74741629268047,9.326033468832199
