,HBC_HBC,HBC_R
C30,1.0,1.0
cis-But-2-ene,1.0,1.0
Phenolic acid,3.0538555088334154,1.0
Styrene,1.0,1.0
Glycerol,75.64633275546291,2.848035868435802
Pentan-2-ol,2.154434690031884,2.154434690031884
Heptan-4-ol,6.1359072734131725,6.1359072734131725
But-2-en-1one,284.8035868435802,284.8035868435802
Ethylene glycol,1.0722672220103233,1.0722672220103233
Propanoic acid,1.0,1.0
Urea,2.848035868435802,2.848035868435802
Pent-3-one,1.0,1.0
"3,4-dihydroxyacetophenone",464.1588833612782,403.70172585965537
prop-1-yne 3-one,3.511191734215131,3.511191734215131
Tetrahydrofuran-3-ol,305.3855508833416,174.7528400007685
Malic acid,10.722672220103231,2.0092330025650473
Maleic acid,2.6560877829466865,1.7475284000076838
Citric acid,12.32846739442066,5.722367659350217
Global,305.3855508833416,3.7649358067924683
