,HBC_HBC,HBC_R,Significance
C30,1.0,1.0,0.0
cis-But-2-ene,1.0,1.0,0.0
Phenolic acid,7.054802310718643,1.6297508346206442,3.0
Styrene,1.0,1.0,0.0
Glycerol,75.64633275546291,2.848035868435802,3.0
Pentan-2-ol,13.219411484660293,13.219411484660293,1.0
Heptan-4-ol,403.70172585965537,403.70172585965537,3.0
But-2-en-1one,284.8035868435802,284.8035868435802,1.0
Ethylene glycol,1.0722672220103233,1.0722672220103233,0.0
Propanoic acid,1.0,1.0,0.0
Urea,2.848035868435802,2.848035868435802,0.0
Pent-3-one,265.6087782946687,265.6087782946687,3.0
"3,4-dihydroxyacetophenone",327.45491628777285,11.497569953977356,3.0
prop-1-yne 3-one,2.0092330025650473,2.0092330025650473,0.0
Tetrahydrofuran-3-ol,305.3855508833416,174.7528400007685,2.0
Malic acid,464.1588833612782,432.8761281083057,3.0
Maleic acid,2.6560877829466865,1.7475284000076838,2.0
Citric acid,11.497569953977356,1.0722672220103233,3.0
Global,284.8035868435802,284.8035868435802,
