,HBC_HBC,HBC_R,Significance
C30,1.0,1.0,0.0
cis-But-2-ene,1.0,1.0,0.0
Phenolic acid,3.0538555088334154,1.0,3.0
Styrene,1.0,1.0,0.0
Glycerol,2.4770763559917106,1.1497569953977358,3.0
Pentan-2-ol,2.154434690031884,2.154434690031884,1.0
Heptan-4-ol,6.1359072734131725,6.1359072734131725,3.0
But-2-en-1one,3.511191734215131,3.511191734215131,1.0
Ethylene glycol,1.1497569953977358,1.0,0.0
Propanoic acid,2.154434690031884,2.154434690031884,0.0
Urea,35.11191734215131,35.11191734215131,0.0
Pent-3-one,1.0,1.0,3.0
"3,4-dihydroxyacetophenone",3.2745491628777286,1.0,3.0
prop-1-yne 3-one,3.511191734215131,3.511191734215131,0.0
Tetrahydrofuran-3-ol,8.697490026177835,4.0370172585965545,2.0
Malic acid,162.9750834620645,1.1497569953977358,3.0
Maleic acid,43.287612810830595,3.7649358067924683,2.0
Citric acid,200.9233002565048,200.9233002565048,3.0
Global,1.1497569953977358,1.1497569953977358,
