,0,1,2,3,4,5,6,7,8,9
0,5.0,0.0,1.0,4.0,17.0,29.0,6.0,2.0,11.0,7.0
1,14.0,3.0,12.0,21.0,44.0,39.0,8.0,9.0,23.0,24.0
2,18.0,10.0,36.0,22.0,52.0,48.0,13.0,32.0,33.0,25.0
3,35.0,20.0,41.0,28.0,58.0,57.0,15.0,38.0,37.0,26.0
4,47.0,31.0,51.0,30.0,80.0,60.0,16.0,46.0,40.0,67.0
5,65.0,34.0,59.0,45.0,96.0,63.0,19.0,56.0,43.0,71.0
6,72.0,54.0,66.0,53.0,97.0,78.0,27.0,85.0,50.0,79.0
7,73.0,61.0,88.0,64.0,98.0,89.0,42.0,86.0,55.0,103.0
8,76.0,68.0,91.0,70.0,101.0,100.0,49.0,92.0,62.0,104.0
9,81.0,69.0,99.0,87.0,110.0,106.0,83.0,95.0,75.0,108.0
10,84.0,74.0,105.0,109.0,137.0,123.0,102.0,107.0,82.0,118.0
11,125.0,77.0,111.0,117.0,138.0,126.0,114.0,115.0,129.0,134.0
12,128.0,90.0,119.0,142.0,143.0,127.0,121.0,116.0,154.0,146.0
13,133.0,93.0,120.0,148.0,156.0,130.0,122.0,150.0,165.0,168.0
14,141.0,94.0,124.0,152.0,158.0,161.0,155.0,151.0,167.0,186.0
15,145.0,112.0,131.0,166.0,164.0,163.0,181.0,183.0,189.0,191.0
16,147.0,113.0,132.0,174.0,178.0,177.0,182.0,188.0,209.0,194.0
17,159.0,136.0,135.0,179.0,201.0,184.0,187.0,200.0,222.0,196.0
18,170.0,139.0,140.0,204.0,218.0,192.0,199.0,221.0,233.0,197.0
19,193.0,144.0,157.0,207.0,224.0,198.0,202.0,232.0,241.0,205.0
20,195.0,149.0,162.0,228.0,234.0,203.0,213.0,246.0,257.0,262.0
21,210.0,153.0,169.0,239.0,238.0,206.0,214.0,254.0,258.0,263.0
22,211.0,160.0,171.0,253.0,251.0,208.0,236.0,282.0,259.0,292.0
23,212.0,172.0,173.0,255.0,279.0,229.0,240.0,300.0,273.0,339.0
24,216.0,217.0,175.0,264.0,290.0,237.0,247.0,306.0,275.0,357.0
25,223.0,219.0,176.0,277.0,301.0,242.0,256.0,317.0,276.0,362.0
26,231.0,220.0,180.0,285.0,305.0,252.0,280.0,340.0,278.0,372.0
27,244.0,230.0,185.0,298.0,307.0,260.0,284.0,351.0,283.0,392.0
28,248.0,235.0,190.0,309.0,337.0,268.0,297.0,353.0,287.0,397.0
29,249.0,250.0,215.0,320.0,342.0,274.0,299.0,354.0,302.0,398.0
30,265.0,261.0,225.0,321.0,343.0,281.0,303.0,358.0,327.0,399.0
31,266.0,270.0,226.0,322.0,348.0,288.0,316.0,361.0,330.0,403.0
32,296.0,286.0,227.0,334.0,359.0,289.0,345.0,378.0,335.0,405.0
33,308.0,293.0,243.0,338.0,367.0,291.0,346.0,381.0,341.0,412.0
34,311.0,310.0,245.0,355.0,370.0,295.0,365.0,383.0,350.0,428.0
35,314.0,312.0,267.0,356.0,373.0,329.0,368.0,393.0,371.0,429.0
36,325.0,313.0,269.0,363.0,385.0,344.0,382.0,396.0,379.0,431.0
37,326.0,315.0,271.0,377.0,389.0,352.0,391.0,400.0,386.0,453.0
38,328.0,318.0,272.0,414.0,395.0,364.0,394.0,404.0,390.0,460.0
39,331.0,323.0,294.0,421.0,401.0,366.0,406.0,415.0,410.0,465.0
40,332.0,333.0,304.0,423.0,407.0,376.0,408.0,416.0,411.0,472.0
41,336.0,349.0,319.0,426.0,413.0,380.0,420.0,439.0,419.0,476.0
42,347.0,360.0,324.0,454.0,418.0,402.0,433.0,440.0,449.0,489.0
43,374.0,409.0,369.0,461.0,425.0,435.0,456.0,443.0,451.0,498.0
44,375.0,417.0,387.0,462.0,437.0,438.0,475.0,457.0,459.0,514.0
45,384.0,424.0,388.0,471.0,442.0,444.0,500.0,467.0,468.0,516.0
46,427.0,432.0,422.0,481.0,446.0,450.0,503.0,482.0,469.0,529.0
47,430.0,441.0,436.0,488.0,447.0,455.0,504.0,490.0,470.0,531.0
48,434.0,445.0,452.0,492.0,479.0,463.0,515.0,512.0,483.0,543.0
49,448.0,466.0,458.0,507.0,484.0,497.0,518.0,517.0,486.0,557.0
50,485.0,473.0,464.0,519.0,506.0,499.0,522.0,520.0,493.0,575.0
51,487.0,478.0,474.0,524.0,510.0,511.0,533.0,521.0,494.0,576.0
52,496.0,480.0,477.0,530.0,525.0,513.0,558.0,523.0,527.0,607.0
53,502.0,495.0,491.0,535.0,532.0,526.0,561.0,534.0,540.0,609.0
54,505.0,501.0,508.0,545.0,544.0,537.0,587.0,536.0,542.0,610.0
55,528.0,509.0,541.0,551.0,548.0,539.0,591.0,549.0,553.0,616.0
56,546.0,538.0,547.0,554.0,559.0,550.0,600.0,555.0,565.0,618.0
57,552.0,586.0,556.0,562.0,560.0,584.0,603.0,563.0,569.0,620.0
58,571.0,588.0,577.0,567.0,564.0,598.0,604.0,568.0,573.0,623.0
59,581.0,595.0,578.0,570.0,566.0,599.0,605.0,582.0,574.0,646.0
60,585.0,619.0,592.0,579.0,572.0,613.0,612.0,611.0,583.0,653.0
61,597.0,626.0,596.0,580.0,589.0,625.0,622.0,628.0,594.0,655.0
62,624.0,627.0,606.0,593.0,590.0,662.0,636.0,632.0,608.0,657.0
63,629.0,631.0,614.0,649.0,601.0,690.0,638.0,633.0,617.0,658.0
64,635.0,641.0,630.0,650.0,602.0,692.0,645.0,652.0,634.0,659.0
65,640.0,648.0,651.0,656.0,615.0,693.0,647.0,674.0,642.0,666.0
66,643.0,664.0,654.0,665.0,621.0,694.0,667.0,680.0,661.0,675.0
67,644.0,670.0,669.0,673.0,637.0,697.0,676.0,684.0,668.0,677.0
68,660.0,671.0,683.0,686.0,639.0,700.0,687.0,696.0,672.0,678.0
69,663.0,679.0,685.0,689.0,702.0,701.0,688.0,699.0,681.0,682.0
70,698.0,691.0,695.0,707.0,708.0,704.0,703.0,706.0,705.0,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
