,0,1,2,3,4,5,6,7,8,9
0,2.0,0.0,10.0,1.0,29.0,11.0,6.0,15.0,25.0,3.0
1,4.0,8.0,16.0,7.0,30.0,32.0,9.0,21.0,34.0,5.0
2,26.0,13.0,17.0,20.0,35.0,71.0,27.0,28.0,66.0,12.0
3,31.0,18.0,23.0,22.0,40.0,91.0,42.0,41.0,74.0,14.0
4,47.0,33.0,38.0,60.0,59.0,92.0,43.0,51.0,116.0,19.0
5,54.0,36.0,48.0,72.0,73.0,97.0,46.0,65.0,128.0,24.0
6,57.0,37.0,49.0,76.0,79.0,107.0,50.0,75.0,151.0,39.0
7,88.0,44.0,61.0,81.0,84.0,111.0,52.0,85.0,175.0,45.0
8,117.0,53.0,69.0,83.0,86.0,112.0,64.0,100.0,185.0,67.0
9,123.0,55.0,82.0,103.0,105.0,118.0,77.0,115.0,187.0,68.0
10,129.0,56.0,89.0,108.0,109.0,132.0,122.0,121.0,195.0,90.0
11,131.0,58.0,93.0,114.0,139.0,135.0,126.0,134.0,197.0,101.0
12,133.0,62.0,96.0,119.0,143.0,136.0,141.0,137.0,205.0,124.0
13,142.0,63.0,102.0,130.0,168.0,144.0,149.0,158.0,211.0,125.0
14,150.0,70.0,127.0,148.0,186.0,147.0,156.0,174.0,224.0,145.0
15,152.0,78.0,140.0,160.0,210.0,170.0,159.0,179.0,227.0,146.0
16,188.0,80.0,172.0,162.0,216.0,176.0,161.0,182.0,230.0,154.0
17,198.0,87.0,173.0,164.0,218.0,180.0,178.0,189.0,239.0,155.0
18,202.0,94.0,183.0,171.0,226.0,191.0,203.0,193.0,245.0,163.0
19,214.0,95.0,184.0,177.0,231.0,192.0,206.0,199.0,279.0,165.0
20,222.0,98.0,208.0,204.0,243.0,194.0,207.0,234.0,284.0,167.0
21,223.0,99.0,209.0,213.0,244.0,201.0,246.0,249.0,304.0,169.0
22,236.0,104.0,215.0,217.0,263.0,221.0,256.0,250.0,309.0,181.0
23,240.0,106.0,241.0,219.0,264.0,229.0,259.0,253.0,321.0,196.0
24,242.0,110.0,258.0,233.0,270.0,237.0,260.0,276.0,328.0,200.0
25,247.0,113.0,272.0,255.0,273.0,238.0,283.0,289.0,330.0,212.0
26,248.0,120.0,286.0,267.0,308.0,252.0,287.0,299.0,333.0,228.0
27,251.0,138.0,296.0,275.0,314.0,277.0,288.0,347.0,337.0,257.0
28,261.0,153.0,307.0,278.0,320.0,281.0,292.0,348.0,339.0,262.0
29,265.0,157.0,311.0,282.0,336.0,290.0,294.0,353.0,340.0,274.0
30,266.0,166.0,318.0,285.0,349.0,301.0,297.0,367.0,355.0,295.0
31,268.0,190.0,326.0,315.0,350.0,302.0,298.0,368.0,364.0,300.0
32,271.0,220.0,329.0,324.0,359.0,305.0,303.0,372.0,365.0,312.0
33,306.0,225.0,332.0,344.0,382.0,317.0,323.0,377.0,366.0,313.0
34,322.0,232.0,335.0,345.0,390.0,341.0,331.0,378.0,369.0,316.0
35,388.0,235.0,343.0,361.0,400.0,346.0,351.0,381.0,371.0,325.0
36,396.0,254.0,357.0,375.0,401.0,370.0,352.0,394.0,391.0,327.0
37,397.0,269.0,362.0,389.0,405.0,379.0,354.0,399.0,392.0,342.0
38,426.0,280.0,374.0,427.0,419.0,383.0,356.0,404.0,395.0,360.0
39,435.0,291.0,380.0,432.0,431.0,386.0,358.0,407.0,406.0,363.0
40,436.0,293.0,385.0,438.0,442.0,398.0,373.0,423.0,422.0,393.0
