,0,1,2,3,4,5,6,7,8,9
0,0.0,2.0,9.0,16.0,18.0,7.0,24.0,4.0,6.0,1.0
1,3.0,8.0,10.0,29.0,23.0,14.0,31.0,21.0,17.0,12.0
2,5.0,13.0,15.0,45.0,39.0,36.0,35.0,27.0,19.0,26.0
3,11.0,20.0,32.0,46.0,40.0,38.0,41.0,37.0,25.0,33.0
4,30.0,22.0,58.0,48.0,47.0,44.0,69.0,43.0,34.0,51.0
5,52.0,28.0,68.0,53.0,49.0,62.0,85.0,63.0,96.0,61.0
6,60.0,42.0,74.0,55.0,50.0,82.0,99.0,91.0,108.0,64.0
7,65.0,54.0,76.0,57.0,56.0,92.0,105.0,107.0,112.0,66.0
8,81.0,78.0,77.0,67.0,59.0,93.0,109.0,115.0,131.0,75.0
9,89.0,90.0,79.0,73.0,70.0,94.0,120.0,130.0,145.0,83.0
10,103.0,95.0,80.0,86.0,71.0,100.0,122.0,161.0,148.0,84.0
11,113.0,101.0,88.0,102.0,72.0,140.0,124.0,168.0,166.0,87.0
12,123.0,111.0,97.0,119.0,116.0,146.0,155.0,182.0,191.0,98.0
13,128.0,132.0,106.0,139.0,134.0,164.0,170.0,199.0,194.0,104.0
14,133.0,152.0,110.0,142.0,136.0,179.0,174.0,204.0,212.0,117.0
15,137.0,181.0,114.0,150.0,141.0,187.0,177.0,209.0,224.0,121.0
16,138.0,184.0,118.0,156.0,149.0,200.0,189.0,217.0,230.0,147.0
17,143.0,186.0,125.0,176.0,157.0,211.0,203.0,225.0,231.0,151.0
18,144.0,201.0,126.0,183.0,160.0,214.0,216.0,226.0,242.0,153.0
19,159.0,232.0,127.0,195.0,162.0,245.0,221.0,244.0,254.0,158.0
20,165.0,237.0,129.0,196.0,163.0,257.0,229.0,249.0,256.0,169.0
21,171.0,259.0,135.0,205.0,172.0,264.0,233.0,266.0,265.0,198.0
22,173.0,262.0,154.0,208.0,178.0,273.0,243.0,281.0,285.0,206.0
23,185.0,269.0,167.0,215.0,188.0,274.0,252.0,315.0,295.0,210.0
24,192.0,278.0,175.0,223.0,207.0,282.0,253.0,321.0,311.0,220.0
25,193.0,279.0,180.0,241.0,213.0,291.0,325.0,324.0,314.0,235.0
26,218.0,289.0,190.0,248.0,258.0,292.0,326.0,332.0,327.0,240.0
27,222.0,290.0,197.0,250.0,297.0,294.0,342.0,334.0,335.0,246.0
28,227.0,304.0,202.0,255.0,303.0,299.0,345.0,352.0,339.0,251.0
29,228.0,306.0,219.0,286.0,308.0,302.0,356.0,362.0,347.0,260.0
30,234.0,338.0,236.0,288.0,348.0,310.0,364.0,385.0,349.0,263.0
31,247.0,346.0,238.0,305.0,369.0,317.0,367.0,388.0,357.0,268.0
32,267.0,363.0,239.0,307.0,381.0,322.0,372.0,390.0,358.0,271.0
33,270.0,378.0,261.0,313.0,384.0,323.0,395.0,393.0,370.0,272.0
34,283.0,380.0,275.0,318.0,391.0,331.0,411.0,398.0,374.0,280.0
35,284.0,408.0,276.0,336.0,394.0,350.0,419.0,410.0,387.0,287.0
36,296.0,420.0,277.0,343.0,399.0,359.0,441.0,416.0,402.0,298.0
37,300.0,427.0,293.0,351.0,407.0,375.0,443.0,423.0,404.0,301.0
38,312.0,435.0,319.0,355.0,421.0,401.0,451.0,444.0,406.0,309.0
39,316.0,442.0,328.0,371.0,422.0,403.0,455.0,450.0,426.0,320.0
40,330.0,484.0,329.0,379.0,430.0,405.0,461.0,476.0,429.0,333.0
41,360.0,488.0,340.0,382.0,433.0,413.0,470.0,489.0,432.0,337.0
42,376.0,497.0,341.0,412.0,436.0,424.0,475.0,501.0,434.0,353.0
43,409.0,500.0,344.0,418.0,438.0,428.0,479.0,502.0,440.0,366.0
44,425.0,505.0,354.0,439.0,458.0,448.0,483.0,508.0,445.0,368.0
45,437.0,538.0,361.0,447.0,485.0,453.0,519.0,515.0,446.0,389.0
46,456.0,540.0,365.0,463.0,491.0,462.0,530.0,524.0,452.0,397.0
47,465.0,547.0,373.0,469.0,520.0,481.0,542.0,528.0,454.0,400.0
48,467.0,555.0,377.0,471.0,527.0,486.0,570.0,534.0,464.0,414.0
49,473.0,559.0,383.0,472.0,545.0,494.0,580.0,552.0,478.0,449.0
50,487.0,563.0,386.0,493.0,546.0,503.0,581.0,553.0,480.0,460.0
51,513.0,575.0,392.0,504.0,549.0,506.0,595.0,556.0,482.0,468.0
52,514.0,577.0,396.0,511.0,554.0,525.0,596.0,566.0,490.0,474.0
53,522.0,588.0,415.0,516.0,557.0,526.0,603.0,567.0,496.0,495.0
54,532.0,590.0,417.0,544.0,568.0,531.0,615.0,576.0,498.0,499.0
55,537.0,605.0,431.0,560.0,589.0,533.0,627.0,594.0,521.0,510.0
56,539.0,624.0,457.0,573.0,591.0,536.0,646.0,618.0,523.0,512.0
57,602.0,630.0,459.0,579.0,592.0,541.0,660.0,622.0,564.0,517.0
58,606.0,636.0,466.0,583.0,593.0,543.0,664.0,625.0,574.0,529.0
59,611.0,655.0,477.0,585.0,608.0,562.0,668.0,634.0,582.0,548.0
60,619.0,671.0,492.0,600.0,610.0,578.0,670.0,639.0,584.0,551.0
61,621.0,674.0,507.0,607.0,620.0,586.0,681.0,642.0,644.0,561.0
62,638.0,675.0,509.0,612.0,647.0,598.0,684.0,652.0,653.0,565.0
63,641.0,679.0,518.0,623.0,650.0,599.0,698.0,654.0,683.0,569.0
64,648.0,724.0,535.0,632.0,651.0,613.0,700.0,662.0,695.0,572.0
65,657.0,734.0,550.0,649.0,659.0,626.0,709.0,669.0,699.0,597.0
66,658.0,740.0,558.0,661.0,665.0,631.0,731.0,686.0,701.0,604.0
67,672.0,755.0,571.0,667.0,676.0,633.0,736.0,687.0,719.0,609.0
68,685.0,756.0,587.0,702.0,677.0,643.0,751.0,691.0,720.0,616.0
69,689.0,757.0,601.0,705.0,680.0,666.0,765.0,692.0,725.0,628.0
70,727.0,759.0,614.0,728.0,688.0,678.0,770.0,694.0,733.0,635.0
71,732.0,760.0,617.0,729.0,710.0,693.0,780.0,713.0,737.0,640.0
72,738.0,761.0,629.0,730.0,715.0,697.0,784.0,714.0,742.0,656.0
73,743.0,768.0,637.0,739.0,716.0,703.0,787.0,721.0,750.0,663.0
74,747.0,775.0,645.0,763.0,718.0,706.0,788.0,754.0,753.0,673.0
75,762.0,783.0,696.0,767.0,723.0,707.0,789.0,758.0,779.0,682.0
