,0,1,2,3,4,5,6,7,8,9
0,3.0,21.0,11.0,4.0,1.0,0.0,2.0,6.0,12.0,9.0
1,18.0,22.0,13.0,5.0,7.0,14.0,10.0,8.0,15.0,23.0
2,19.0,26.0,17.0,16.0,38.0,35.0,20.0,29.0,54.0,24.0
3,48.0,32.0,27.0,25.0,72.0,39.0,28.0,34.0,55.0,36.0
4,51.0,37.0,46.0,30.0,82.0,52.0,31.0,60.0,63.0,40.0
5,57.0,41.0,47.0,59.0,85.0,65.0,33.0,62.0,74.0,42.0
6,66.0,44.0,49.0,64.0,96.0,68.0,58.0,73.0,80.0,43.0
7,67.0,61.0,50.0,69.0,99.0,81.0,76.0,78.0,92.0,45.0
8,79.0,86.0,53.0,71.0,104.0,87.0,83.0,84.0,132.0,56.0
9,88.0,94.0,70.0,75.0,105.0,95.0,89.0,93.0,135.0,77.0
10,90.0,100.0,98.0,106.0,111.0,103.0,97.0,126.0,137.0,102.0
11,91.0,129.0,107.0,116.0,138.0,110.0,101.0,130.0,139.0,154.0
12,109.0,147.0,114.0,121.0,142.0,117.0,108.0,133.0,140.0,155.0
13,112.0,180.0,115.0,134.0,144.0,123.0,113.0,141.0,145.0,156.0
14,120.0,186.0,118.0,146.0,150.0,149.0,143.0,178.0,158.0,166.0
15,122.0,193.0,119.0,151.0,159.0,157.0,148.0,181.0,167.0,179.0
16,128.0,198.0,124.0,153.0,176.0,163.0,152.0,183.0,172.0,203.0
17,161.0,217.0,125.0,162.0,184.0,174.0,160.0,195.0,207.0,208.0
18,170.0,219.0,127.0,165.0,189.0,175.0,164.0,197.0,212.0,209.0
19,185.0,221.0,131.0,168.0,191.0,188.0,177.0,200.0,223.0,225.0
20,187.0,239.0,136.0,173.0,201.0,196.0,190.0,205.0,227.0,229.0
21,202.0,248.0,169.0,210.0,204.0,211.0,192.0,218.0,236.0,242.0
22,206.0,249.0,171.0,214.0,220.0,215.0,213.0,222.0,237.0,244.0
23,224.0,252.0,182.0,216.0,238.0,235.0,226.0,230.0,247.0,253.0
24,228.0,267.0,194.0,232.0,241.0,269.0,240.0,234.0,256.0,255.0
25,231.0,272.0,199.0,243.0,251.0,287.0,257.0,259.0,258.0,262.0
26,233.0,274.0,246.0,254.0,266.0,289.0,260.0,263.0,270.0,264.0
27,245.0,277.0,275.0,271.0,280.0,296.0,261.0,284.0,279.0,290.0
28,250.0,282.0,278.0,314.0,291.0,297.0,265.0,293.0,283.0,292.0
29,273.0,294.0,281.0,317.0,306.0,299.0,268.0,303.0,288.0,298.0
30,285.0,295.0,286.0,318.0,311.0,300.0,276.0,304.0,307.0,309.0
31,305.0,301.0,315.0,324.0,312.0,308.0,316.0,310.0,325.0,320.0
32,321.0,302.0,323.0,326.0,313.0,322.0,319.0,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,,,,,,,,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
160,,,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,,,,
167,,,,,,,,,,
168,,,,,,,,,,
169,,,,,,,,,,
170,,,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,,,,,,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,,,,,,
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,,,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,,,,,
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,,,,,,
277,,,,,,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,,,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
